id,state,destination,year,month,season,purpose_of_visit,visitor_type,number_of_visitors,avg_stay_days,avg_spend_inr,accommodation_type,transport_mode,rating_out_of_5
31,Assam,Tezpur,2023,January,Spring,Wildlife,Foreign,45336,9.1,73011,Hotel,Flight,1
32,Sikkim,Namchi,2021,March,Autumn,Pilgrimage,Domestic,2664,9.1,29035,Hotel,Bus,2
33,Gujarat,Gir,2023,December,Spring,Wildlife,Foreign,11653,8.9,4748,Resort,Train,2
34,Jammu and Kashmir,Leh,2024,March,Monsoon,Business,Domestic,2587,8.7,30654,Camp,Flight,2
35,Gujarat,Dwarka,2025,January,Summer,Business,Domestic,18308,8.8,38085,Houseboat,Train,3
36,Madhya Pradesh,Gwalior,2023,January,Monsoon,Backpacking,Domestic,17447,1.3,58459,Hotel,Bus,3
37,Jammu and Kashmir,Jammu,2022,July,Winter,Backpacking,Domestic,46500,4.9,69646,Guesthouse,Train,5
38,Gujarat,Somnath,2024,October,Monsoon,Adventure,Domestic,19731,5.6,55028,Homestay,Flight,3
39,West Bengal,Sundarbans,2025,July,Summer,Pilgrimage,Domestic,11455,6.5,40946,Houseboat,Car,4
40,Rajasthan,Jodhpur,2025,July,Summer,Honeymoon,Domestic,21168,5.2,59454,Camp,Bike,2
41,Telangana,Medak,2022,May,Winter,Pilgrimage,Domestic,49276,3.1,42187,Guesthouse,Bike,2
42,Uttarakhand,Rishikesh,2024,August,Summer,Leisure,Domestic,41322,6.2,51828,Guesthouse,Flight,4
43,Maharashtra,Pune,2022,July,Winter,Leisure,Foreign,45657,5.7,8082,Resort,Train,5
44,Himachal Pradesh,Kasol,2025,November,Autumn,Pilgrimage,Domestic,49546,9.0,67662,Guesthouse,Bike,4
45,Andhra Pradesh,Tirupati,2022,May,Autumn,Heritage,Foreign,18223,7.9,69827,Camp,Train,4
46,Uttar Pradesh,Mathura,2024,April,Monsoon,Adventure,Domestic,35449,1.7,21269,Homestay,Bus,2
47,Uttarakhand,Jim Corbett,2025,July,Winter,Business,Domestic,27298,1.6,56569,Hostel,Bus,4
48,Rajasthan,Pushkar,2022,January,Autumn,Wildlife,Domestic,27510,5.8,73082,Homestay,Bus,5
49,Telangana,Warangal,2022,August,Autumn,Honeymoon,Domestic,44558,8.2,23132,Hotel,Car,4
50,Bihar,Vaishali,2021,October,Autumn,Leisure,Domestic,28139,2.2,62015,Guesthouse,Flight,2
51,Uttar Pradesh,Mathura,2021,August,Summer,Family,Domestic,24896,3.5,56755,Homestay,Bus,3
52,Telangana,Hyderabad,2022,June,Winter,Backpacking,Domestic,42763,1.4,5567,Resort,Flight,2
53,Rajasthan,Pushkar,2022,March,Summer,Pilgrimage,Domestic,14334,5.2,35086,Hostel,Flight,3
54,Bihar,Vaishali,2022,May,Summer,Adventure,Domestic,20494,6.2,50692,Hotel,Bike,4
55,Goa,Anjuna,2025,December,Winter,Business,Foreign,39398,8.2,6883,Camp,Bus,3
56,Jammu and Kashmir,Leh,2023,September,Winter,Family,Domestic,27578,8.4,15333,Houseboat,Bus,4
57,Andhra Pradesh,Lepakshi,2024,March,Autumn,Pilgrimage,Foreign,17750,6.5,72039,Houseboat,Bike,4
58,Jammu and Kashmir,Leh,2024,June,Monsoon,Wellness,Foreign,5729,3.5,60587,Camp,Train,2
59,Sikkim,Namchi,2023,January,Monsoon,Wildlife,Domestic,13951,4.2,35362,Hostel,Bus,3
60,Bihar,Gaya,2024,January,Spring,Honeymoon,Domestic,47240,4.7,74268,Guesthouse,Train,2
61,Telangana,Ramoji Film City,2025,May,Winter,Leisure,Domestic,20117,7.0,49868,Resort,Car,4
62,Odisha,Konark,2021,June,Spring,Wildlife,Domestic,16525,3.1,26742,Homestay,Car,3
63,Assam,Tezpur,2023,April,Summer,Pilgrimage,Domestic,38689,9.8,70265,Houseboat,Car,5
64,Himachal Pradesh,Manali,2025,June,Summer,Honeymoon,Domestic,35055,2.1,7465,Resort,Bus,1
65,West Bengal,Siliguri,2021,February,Autumn,Pilgrimage,Domestic,30812,5.3,46157,Camp,Flight,2
66,Uttar Pradesh,Mathura,2023,July,Winter,Adventure,Domestic,45037,1.5,21055,Hostel,Flight,5
67,Goa,South Goa,2024,July,Spring,Adventure,Domestic,14840,8.0,51356,Guesthouse,Bike,4
68,West Bengal,Sundarbans,2023,October,Monsoon,Wildlife,Domestic,48552,1.9,28735,Guesthouse,Flight,2
69,Goa,South Goa,2021,September,Summer,Business,Domestic,29574,7.2,63092,Hotel,Train,3
70,Maharashtra,Lonavala,2021,February,Autumn,Honeymoon,Foreign,41013,6.3,27428,Houseboat,Train,4
71,Assam,Kaziranga,2021,March,Monsoon,Pilgrimage,Domestic,20209,6.4,39328,Hotel,Flight,4
72,Andhra Pradesh,Lepakshi,2025,May,Autumn,Honeymoon,Domestic,5321,6.4,58126,Guesthouse,Bike,3
73,Uttar Pradesh,Agra,2021,November,Summer,Adventure,Domestic,1409,10.0,36825,Camp,Bike,5
74,Tamil Nadu,Madurai,2024,May,Autumn,Backpacking,Domestic,32275,9.7,63105,Resort,Bike,3
75,Punjab,Ludhiana,2024,June,Summer,Adventure,Domestic,26294,8.3,73602,Hostel,Car,1
76,Goa,Panaji,2024,February,Monsoon,Honeymoon,Foreign,125,6.9,72618,Camp,Car,4
77,Kerala,Alleppey,2022,October,Monsoon,Backpacking,Domestic,49856,1.5,36503,Camp,Car,5
78,West Bengal,Digha,2025,January,Winter,Heritage,Domestic,46566,2.4,73699,Houseboat,Bike,1
79,Jammu and Kashmir,Srinagar,2024,August,Winter,Business,Domestic,47013,3.6,37338,Hotel,Train,4
80,Telangana,Warangal,2023,March,Spring,Heritage,Foreign,33358,7.7,19392,Hostel,Train,1
81,Jammu and Kashmir,Pahalgam,2024,January,Monsoon,Backpacking,Foreign,38055,10.0,65678,Homestay,Bus,2
82,Assam,Sivasagar,2024,September,Monsoon,Family,Domestic,21138,8.8,32800,Camp,Bike,5
83,Maharashtra,Mahabaleshwar,2021,December,Monsoon,Leisure,Domestic,43545,8.1,21436,Hostel,Car,4
84,Uttarakhand,Auli,2022,February,Monsoon,Wellness,Domestic,29995,1.1,20394,Camp,Car,4
85,Goa,Calangute,2023,October,Monsoon,Honeymoon,Domestic,21582,8.7,71442,Houseboat,Car,4
86,Telangana,Bhongir,2024,February,Spring,Leisure,Foreign,48990,1.8,14403,Resort,Bus,1
87,Tamil Nadu,Rameswaram,2024,January,Winter,Honeymoon,Domestic,24615,4.9,33507,Homestay,Flight,5
88,Sikkim,Ravangla,2022,March,Summer,Pilgrimage,Foreign,40663,7.1,66730,Hotel,Bike,5
89,Maharashtra,Mahabaleshwar,2021,May,Autumn,Honeymoon,Foreign,30540,9.1,73143,Houseboat,Flight,2
90,Andhra Pradesh,Araku Valley,2021,November,Monsoon,Wellness,Domestic,19849,2.8,51922,Hostel,Bus,4
91,Maharashtra,Mahabaleshwar,2021,October,Monsoon,Wellness,Domestic,43187,4.6,2561,Homestay,Bus,5
92,Bihar,Gaya,2021,April,Monsoon,Heritage,Domestic,12510,6.6,19427,Guesthouse,Bus,1
93,West Bengal,Digha,2022,June,Spring,Leisure,Domestic,19390,3.9,55960,Houseboat,Train,2
94,Uttarakhand,Auli,2021,September,Spring,Family,Domestic,31628,9.7,40184,Homestay,Train,3
95,Andhra Pradesh,Vizag,2023,November,Summer,Pilgrimage,Foreign,36574,4.3,53217,Houseboat,Car,1
96,Assam,Guwahati,2024,November,Monsoon,Heritage,Domestic,41897,9.5,15701,Houseboat,Bus,2
97,Rajasthan,Pushkar,2021,October,Monsoon,Backpacking,Domestic,30476,9.2,41108,Resort,Flight,4
98,Uttarakhand,Rishikesh,2025,August,Monsoon,Leisure,Domestic,35278,2.2,60959,Hotel,Flight,3
99,Jammu and Kashmir,Jammu,2024,November,Autumn,Pilgrimage,Domestic,18383,1.3,50066,Hotel,Car,2
100,Andhra Pradesh,Tirupati,2022,November,Winter,Family,Foreign,42309,4.2,53684,Homestay,Bike,3
101,Himachal Pradesh,Kasol,2025,November,Summer,Adventure,Foreign,3364,8.1,33425,Houseboat,Bike,2
102,Karnataka,Bengaluru,2022,October,Summer,Backpacking,Domestic,9720,8.1,1871,Resort,Train,3
103,Uttarakhand,Auli,2023,February,Summer,Honeymoon,Domestic,23527,8.1,32686,Houseboat,Flight,5
104,Rajasthan,Udaipur,2025,March,Winter,Honeymoon,Domestic,48917,1.6,60256,Houseboat,Car,3
105,Sikkim,Gangtok,2021,April,Spring,Heritage,Domestic,43231,5.7,61536,Guesthouse,Flight,1
106,Telangana,Ramoji Film City,2022,August,Winter,Wildlife,Domestic,5344,3.9,20942,Houseboat,Car,1
107,Uttar Pradesh,Ayodhya,2024,December,Spring,Wellness,Foreign,34820,3.7,67763,Homestay,Car,5
108,Himachal Pradesh,Dalhousie,2024,December,Spring,Adventure,Domestic,15024,4.7,60941,Camp,Train,4
109,Himachal Pradesh,Dharamshala,2021,November,Monsoon,Wildlife,Foreign,45061,9.3,10299,Homestay,Bus,1
110,Goa,Calangute,2023,March,Monsoon,Adventure,Domestic,36854,6.1,17521,Guesthouse,Flight,4
111,Jammu and Kashmir,Leh,2021,October,Monsoon,Leisure,Domestic,33303,2.9,64701,Homestay,Bus,2
112,Gujarat,Gir,2025,May,Winter,Family,Foreign,36813,9.8,74472,Guesthouse,Train,1
113,Uttar Pradesh,Agra,2024,December,Monsoon,Pilgrimage,Foreign,23054,1.1,20276,Camp,Bus,5
114,Goa,South Goa,2023,December,Winter,Leisure,Domestic,29780,4.1,50003,Guesthouse,Train,3
115,Sikkim,Namchi,2025,March,Winter,Adventure,Domestic,5396,3.4,57076,Resort,Bike,4
116,Andhra Pradesh,Vijayawada,2023,September,Summer,Honeymoon,Domestic,18612,7.1,65283,Hotel,Bus,5
117,Kerala,Alleppey,2023,January,Spring,Wildlife,Domestic,13893,7.9,34991,Hotel,Train,3
118,Himachal Pradesh,Shimla,2024,March,Autumn,Heritage,Domestic,15130,5.5,47921,Resort,Car,1
119,Kerala,Wayanad,2021,February,Autumn,Leisure,Domestic,37628,4.6,56247,Camp,Bus,3
120,Madhya Pradesh,Khajuraho,2021,October,Summer,Family,Domestic,6987,3.2,53987,Hostel,Bus,5
121,Madhya Pradesh,Indore,2023,June,Summer,Family,Domestic,41549,2.0,68340,Camp,Train,2
122,Gujarat,Vadodara,2024,February,Summer,Pilgrimage,Domestic,39528,2.4,11376,Resort,Bus,2
123,Andhra Pradesh,Kakinada,2024,November,Autumn,Wellness,Domestic,41155,3.8,59140,Guesthouse,Bike,1
124,Andhra Pradesh,Lepakshi,2023,October,Monsoon,Honeymoon,Domestic,20392,5.2,6429,Hotel,Bus,1
125,West Bengal,Kolkata,2025,October,Spring,Adventure,Domestic,36377,9.6,6876,Guesthouse,Car,4
126,Karnataka,Coorg,2022,September,Autumn,Wellness,Domestic,22557,9.8,12553,Resort,Flight,5
127,Kerala,Alleppey,2023,September,Autumn,Heritage,Domestic,24485,9.3,52279,Guesthouse,Bike,4
128,Bihar,Patna,2021,June,Winter,Family,Domestic,18671,3.3,21209,Hotel,Bike,3
129,Sikkim,Ravangla,2024,May,Monsoon,Pilgrimage,Domestic,46504,9.4,42077,Houseboat,Car,5
130,Punjab,Chandigarh,2023,November,Winter,Backpacking,Domestic,1244,4.3,25127,Houseboat,Car,2
131,Telangana,Warangal,2021,March,Summer,Business,Foreign,6678,5.6,72248,Hotel,Bus,5
132,Punjab,Bathinda,2021,July,Spring,Pilgrimage,Domestic,45456,7.9,23197,Resort,Train,4
133,Jammu and Kashmir,Pahalgam,2023,October,Autumn,Business,Domestic,15724,3.8,62974,Homestay,Car,2
134,Sikkim,Yumthang,2021,July,Monsoon,Heritage,Domestic,10670,8.4,19640,Guesthouse,Bike,3
135,Telangana,Nagarjunsagar,2024,December,Winter,Backpacking,Foreign,18731,1.8,22512,Camp,Bike,3
136,Odisha,Bhubaneswar,2023,April,Winter,Wildlife,Foreign,1797,4.7,53464,Camp,Car,5
137,Maharashtra,Mahabaleshwar,2021,April,Monsoon,Adventure,Foreign,46888,6.8,20642,Hotel,Bus,2
138,West Bengal,Digha,2025,August,Autumn,Pilgrimage,Foreign,1295,3.3,21097,Guesthouse,Flight,5
139,Odisha,Chilika Lake,2021,April,Monsoon,Adventure,Domestic,27563,6.8,61414,Homestay,Flight,1
140,Telangana,Bhongir,2023,November,Winter,Backpacking,Domestic,9459,3.6,1705,Guesthouse,Bike,5
141,Maharashtra,Aurangabad,2025,November,Summer,Wildlife,Domestic,23682,1.6,70451,Houseboat,Flight,5
142,Odisha,Cuttack,2023,August,Autumn,Leisure,Foreign,16673,7.7,48305,Hotel,Car,1
143,Maharashtra,Nashik,2024,December,Spring,Adventure,Domestic,23138,5.9,24449,Camp,Bus,4
144,Tamil Nadu,Ooty,2025,January,Autumn,Adventure,Domestic,13122,9.0,42865,Homestay,Train,3
145,Madhya Pradesh,Ujjain,2021,January,Monsoon,Heritage,Domestic,3182,8.8,45006,Camp,Train,3
146,Gujarat,Somnath,2021,July,Autumn,Wildlife,Domestic,32655,4.3,69562,Homestay,Train,3
147,Jammu and Kashmir,Srinagar,2024,March,Spring,Wildlife,Domestic,5297,4.0,40250,Guesthouse,Bus,3
148,Bihar,Gaya,2024,December,Summer,Wildlife,Domestic,47682,8.8,47710,Hostel,Bus,5
149,Uttar Pradesh,Prayagraj,2025,November,Winter,Leisure,Domestic,49195,7.1,5581,Houseboat,Car,2
150,Andhra Pradesh,Vizag,2023,April,Winter,Pilgrimage,Domestic,37224,1.3,21611,Camp,Bus,4
151,Gujarat,Somnath,2022,March,Spring,Adventure,Domestic,42619,3.5,16369,Guesthouse,Bus,1
152,Telangana,Bhongir,2022,February,Spring,Wildlife,Domestic,14112,10.0,38931,Homestay,Bus,4
153,Himachal Pradesh,Manali,2021,March,Autumn,Adventure,Foreign,44740,9.7,43389,Houseboat,Car,3
154,Assam,Jorhat,2022,March,Monsoon,Honeymoon,Domestic,33391,3.0,27842,Houseboat,Train,2
155,Telangana,Hyderabad,2023,October,Spring,Family,Foreign,36202,2.2,12800,Homestay,Car,1
156,Madhya Pradesh,Gwalior,2024,July,Spring,Heritage,Foreign,4883,2.1,43053,Camp,Car,1
157,Andhra Pradesh,Lepakshi,2025,March,Monsoon,Backpacking,Domestic,11975,7.9,18412,Camp,Bike,4
158,Kerala,Munnar,2021,May,Summer,Backpacking,Domestic,46536,3.0,69512,Resort,Train,3
159,Uttar Pradesh,Varanasi,2025,March,Monsoon,Backpacking,Domestic,6172,5.5,23603,Houseboat,Bus,5
160,Uttarakhand,Haridwar,2025,June,Spring,Wellness,Domestic,1909,1.7,36188,Camp,Bike,2
161,Jammu and Kashmir,Jammu,2024,November,Autumn,Leisure,Domestic,19848,5.3,54727,Guesthouse,Bus,3
162,Goa,Margao,2023,August,Summer,Leisure,Domestic,22344,6.5,42470,Hostel,Car,3
163,Madhya Pradesh,Bhopal,2021,September,Spring,Family,Domestic,8079,3.4,33995,Hotel,Bus,2
164,Kerala,Kochi,2024,July,Spring,Wildlife,Foreign,37909,7.5,26381,Resort,Train,2
165,Odisha,Chilika Lake,2025,August,Monsoon,Heritage,Foreign,33174,5.1,33052,Hotel,Flight,2
166,Gujarat,Ahmedabad,2023,August,Monsoon,Leisure,Domestic,585,8.6,57982,Guesthouse,Car,2
167,Gujarat,Somnath,2025,July,Winter,Family,Domestic,23808,6.0,11137,Hotel,Bike,4
168,Andhra Pradesh,Kakinada,2023,November,Spring,Honeymoon,Domestic,6386,4.5,45944,Guesthouse,Flight,5
169,Uttarakhand,Haridwar,2024,July,Spring,Wellness,Domestic,9030,7.4,63594,Guesthouse,Flight,5
170,Uttarakhand,Auli,2023,June,Summer,Backpacking,Domestic,40452,7.7,40721,Guesthouse,Bus,5
171,Odisha,Cuttack,2025,December,Autumn,Backpacking,Domestic,1140,4.3,15866,Guesthouse,Bus,4
172,West Bengal,Siliguri,2025,August,Spring,Leisure,Domestic,47327,1.5,64473,Homestay,Bike,2
173,Bihar,Rajgir,2022,January,Summer,Pilgrimage,Domestic,28953,3.8,21348,Guesthouse,Flight,4
174,Jammu and Kashmir,Jammu,2025,December,Autumn,Wellness,Domestic,34042,2.9,44104,Houseboat,Flight,4
175,Madhya Pradesh,Indore,2024,September,Autumn,Pilgrimage,Domestic,47296,7.1,36150,Homestay,Bike,5
176,Karnataka,Mysuru,2024,May,Spring,Honeymoon,Domestic,46246,2.9,65594,Resort,Bus,3
177,Gujarat,Gir,2021,February,Monsoon,Honeymoon,Domestic,25906,8.4,20698,Guesthouse,Bike,3
178,West Bengal,Siliguri,2025,August,Monsoon,Adventure,Domestic,14073,2.8,72092,Houseboat,Bus,3
179,Uttar Pradesh,Varanasi,2021,December,Spring,Adventure,Domestic,43948,9.1,31079,Guesthouse,Train,2
180,Himachal Pradesh,Kasol,2024,February,Autumn,Family,Domestic,36117,9.8,22201,Houseboat,Train,4
181,Telangana,Medak,2021,June,Monsoon,Business,Foreign,5912,6.9,31937,Homestay,Flight,5
182,Tamil Nadu,Madurai,2021,July,Winter,Pilgrimage,Domestic,49136,9.7,39441,Camp,Car,1
183,West Bengal,Sundarbans,2024,June,Winter,Wellness,Foreign,35655,5.7,19089,Homestay,Car,5
184,Uttar Pradesh,Varanasi,2025,March,Monsoon,Adventure,Domestic,47144,2.7,45685,Houseboat,Car,3
185,Karnataka,Mysuru,2023,July,Autumn,Wellness,Domestic,43910,1.9,19930,Guesthouse,Bus,4
186,Maharashtra,Mumbai,2023,April,Autumn,Honeymoon,Foreign,19838,6.2,2998,Hostel,Bus,3
187,Maharashtra,Mumbai,2023,May,Autumn,Adventure,Domestic,46158,7.9,16889,Resort,Car,3
188,Bihar,Bodh Gaya,2025,August,Summer,Business,Domestic,39747,4.4,73489,Resort,Car,4
189,Karnataka,Mysuru,2025,September,Winter,Wellness,Domestic,5168,9.3,16207,Hostel,Bike,1
190,Odisha,Bhubaneswar,2024,March,Spring,Wellness,Foreign,29006,2.0,28422,Resort,Bus,5
191,Goa,Anjuna,2021,August,Winter,Heritage,Domestic,37006,1.5,62104,Resort,Bike,3
192,Madhya Pradesh,Indore,2024,October,Summer,Leisure,Domestic,45950,1.6,9397,Hotel,Flight,1
193,Kerala,Kochi,2021,March,Summer,Wildlife,Domestic,25116,5.0,50979,Camp,Car,4
194,Assam,Kaziranga,2023,March,Winter,Family,Domestic,47750,9.8,1955,Guesthouse,Car,1
195,Andhra Pradesh,Lepakshi,2021,September,Autumn,Backpacking,Domestic,22735,2.4,26204,Hostel,Train,1
196,Jammu and Kashmir,Jammu,2021,April,Summer,Leisure,Domestic,29307,6.4,7880,Hotel,Flight,2
197,Madhya Pradesh,Pachmarhi,2025,April,Spring,Business,Domestic,19007,3.1,43299,Camp,Flight,5
198,Punjab,Chandigarh,2025,November,Summer,Honeymoon,Domestic,18082,1.5,24455,Guesthouse,Train,4
199,Telangana,Hyderabad,2022,September,Autumn,Family,Domestic,19703,4.4,72007,Homestay,Car,4
200,Maharashtra,Lonavala,2023,January,Autumn,Pilgrimage,Foreign,36572,5.8,52410,Guesthouse,Car,2
201,Karnataka,Coorg,2025,June,Autumn,Adventure,Domestic,12533,1.5,50936,Hotel,Bike,5
202,Kerala,Munnar,2021,December,Spring,Business,Domestic,13739,8.8,45142,Houseboat,Bike,3
203,Karnataka,Mysuru,2023,April,Autumn,Adventure,Domestic,26043,9.2,73862,Houseboat,Bike,3
204,Madhya Pradesh,Pachmarhi,2022,May,Monsoon,Backpacking,Domestic,32639,5.2,63037,Homestay,Bus,3
205,Gujarat,Dwarka,2022,October,Winter,Wildlife,Domestic,1112,3.3,56232,Camp,Train,3
206,Karnataka,Coorg,2024,October,Autumn,Business,Domestic,42950,9.5,45745,Camp,Train,3
207,Telangana,Ramoji Film City,2021,March,Monsoon,Pilgrimage,Domestic,35579,9.9,9198,Resort,Bike,5
208,Goa,Margao,2023,July,Winter,Leisure,Domestic,9947,1.1,67787,Resort,Train,4
209,Kerala,Thekkady,2023,November,Autumn,Wellness,Domestic,36202,4.7,3692,Hostel,Flight,5
210,Assam,Majuli,2022,December,Spring,Leisure,Foreign,11798,2.0,14124,Houseboat,Car,5
211,Maharashtra,Pune,2025,May,Spring,Wellness,Domestic,26061,1.7,54718,Camp,Bus,4
212,Maharashtra,Nashik,2024,November,Monsoon,Business,Domestic,42641,7.8,13755,Camp,Flight,4
213,Madhya Pradesh,Ujjain,2021,November,Winter,Heritage,Domestic,28486,6.8,44920,Hotel,Train,5
214,Odisha,Puri,2025,December,Summer,Business,Domestic,4922,7.2,38249,Guesthouse,Car,5
215,Kerala,Alleppey,2022,April,Winter,Family,Domestic,46758,8.4,11584,Guesthouse,Train,3
216,Sikkim,Pelling,2023,November,Autumn,Wellness,Domestic,48529,2.3,11779,Guesthouse,Bus,5
217,Kerala,Munnar,2023,February,Summer,Wildlife,Domestic,39083,4.6,44278,Homestay,Bike,1
218,Andhra Pradesh,Vijayawada,2023,September,Monsoon,Business,Domestic,38445,6.9,12732,Hostel,Car,5
219,Maharashtra,Nashik,2023,May,Winter,Adventure,Domestic,41593,2.4,52568,Resort,Car,3
220,Himachal Pradesh,Shimla,2025,August,Monsoon,Leisure,Domestic,5771,2.7,60330,Homestay,Bus,5
221,Odisha,Chilika Lake,2023,February,Winter,Adventure,Domestic,39243,8.1,51993,Homestay,Bike,1
222,Jammu and Kashmir,Sonmarg,2023,April,Spring,Adventure,Domestic,25001,2.5,36747,Guesthouse,Bike,3
223,Telangana,Warangal,2025,July,Summer,Adventure,Domestic,5091,4.3,33821,Homestay,Car,4
224,Bihar,Bodh Gaya,2024,March,Winter,Heritage,Foreign,21822,8.6,51292,Homestay,Flight,3
225,Punjab,Patiala,2023,May,Summer,Wellness,Foreign,13213,5.3,24783,Homestay,Bike,4
226,West Bengal,Siliguri,2025,April,Spring,Heritage,Domestic,25801,4.3,27688,Homestay,Car,5
227,Tamil Nadu,Rameswaram,2024,December,Winter,Backpacking,Domestic,19142,8.5,10564,Hostel,Train,4
228,Uttarakhand,Jim Corbett,2024,May,Summer,Honeymoon,Domestic,24756,1.7,64314,Houseboat,Train,5
229,Assam,Jorhat,2022,January,Spring,Wildlife,Domestic,35236,6.3,12638,Camp,Bus,1
230,Gujarat,Rann of Kutch,2021,October,Winter,Wellness,Foreign,21781,9.7,57920,Houseboat,Car,1
231,Himachal Pradesh,Dharamshala,2024,December,Spring,Business,Domestic,37748,3.0,50536,Guesthouse,Bike,4
232,Sikkim,Ravangla,2022,June,Summer,Backpacking,Domestic,27311,9.3,12753,Hotel,Car,1
233,Gujarat,Dwarka,2021,April,Autumn,Family,Domestic,6447,4.9,60803,Guesthouse,Car,3
234,West Bengal,Kolkata,2022,June,Winter,Adventure,Domestic,10821,9.4,33470,Houseboat,Flight,5
235,Assam,Kaziranga,2021,July,Spring,Family,Domestic,41321,2.7,58140,Hostel,Train,4
236,Bihar,Bodh Gaya,2021,July,Spring,Heritage,Domestic,13536,3.5,9700,Hostel,Flight,5
237,Assam,Kaziranga,2024,April,Monsoon,Family,Domestic,32128,5.7,42578,Hostel,Flight,5
238,Bihar,Rajgir,2025,June,Winter,Wellness,Domestic,44194,7.4,40486,Homestay,Car,5
239,Goa,Margao,2024,February,Monsoon,Pilgrimage,Domestic,24514,7.2,68454,Resort,Bus,4
240,Bihar,Bodh Gaya,2022,July,Autumn,Wellness,Domestic,45494,9.3,24206,Resort,Car,5
241,Telangana,Nagarjunsagar,2022,June,Summer,Pilgrimage,Domestic,23579,9.6,65018,Camp,Car,2
242,Madhya Pradesh,Ujjain,2021,July,Autumn,Backpacking,Domestic,29138,5.4,12335,Houseboat,Car,5
243,Maharashtra,Lonavala,2025,April,Monsoon,Leisure,Domestic,30021,6.1,66421,Guesthouse,Bus,5
244,Himachal Pradesh,Spiti,2022,September,Monsoon,Adventure,Domestic,49646,1.4,59350,Camp,Bus,5
245,Jammu and Kashmir,Srinagar,2022,January,Monsoon,Business,Domestic,5750,5.0,16886,Hostel,Bus,2
246,Sikkim,Ravangla,2023,November,Spring,Family,Domestic,13591,8.3,9280,Hostel,Train,5
247,Assam,Majuli,2022,March,Spring,Wellness,Domestic,17570,9.6,68925,Homestay,Bus,1
248,Jammu and Kashmir,Srinagar,2024,December,Summer,Honeymoon,Domestic,46671,3.9,33947,Camp,Train,4
